grid_base,sigma,corr_mean,fidelity_mean,hotspot_overlap_mean,cv_r2_mean,r2_insample_mean,is_pareto,is_knee
500,1.0,0.9990278055738848,0.9976091408821806,0.9961904761904762,0.06417574941852863,0.2050783794445568,True,False
500,1.5,0.9983127300687957,0.9962992221772551,0.9942857142857143,0.06277845167570367,0.20447525415346837,False,False
500,2.0,0.9974146401908811,0.9915644629525835,0.9857142857142858,0.06756923553014807,0.215578905656899,True,False
500,2.5,0.9879939305208805,0.9592350604985354,0.9304761904761906,0.0891389586378287,0.2586318950472609,True,False
500,3.0,0.9526394256953727,0.9025101890381626,0.8523809523809524,0.12350457748572378,0.3267809269513393,True,False
500,4.0,0.8284964855490375,0.7456768142030902,0.6628571428571428,0.17782412381164042,0.4440983283381271,True,False
500,4.5,0.7704483644944915,0.6837956108186743,0.5971428571428572,0.19233401752628448,0.4825016496963034,True,False
500,5.0,0.7220937103636041,0.6339039980389449,0.5457142857142857,0.20159327752911121,0.5128860148580572,True,True
500,5.5,0.6823558478109828,0.5983207810483485,0.5142857142857142,0.20730723866037576,0.5382631064184116,True,False
500,6.0,0.6493114255087664,0.5675128556115261,0.48571428571428565,0.2103857407121022,0.5601896617258518,True,False
500,6.5,0.6213585305302178,0.537822122407966,0.4542857142857143,0.2113927515462603,0.5792878764111196,True,False
500,7.0,0.5972706536476813,0.5153019934905073,0.4333333333333333,0.21074792685783633,0.5960386606677835,False,False
500,8.0,0.557424985919931,0.4734743977218702,0.3895238095238095,0.20574868116517595,0.6239131182204546,False,False
500,9.0,0.525452682920352,0.4379644366982712,0.3504761904761905,0.1974603294940082,0.6457888159104593,False,False
500,10.0,0.49899561390843744,0.40902161647802826,0.319047619047619,0.18729558997627715,0.6631456197838445,False,False
500,12.0,0.45735706475461163,0.3729642466630201,0.2885714285714286,0.16465678481525767,0.6886811768321177,False,False
