puci_col,feature,jaccard_mean,jaccard_ci95_lo,jaccard_ci95_hi,dice_mean,overlap_mean,centroid_disp_norm,pattern_pearson,pattern_spearman,vote_entropy_bits
pUCI_1_balanced_development,SP_6-E_greenery_rate,0.4254001442123364,0.403766339481787,0.4715635150635432,0.5808922626797873,0.5841973203286045,0.0949314687199422,0.4917435357498243,0.49174353574982554,3.6491507599778368
pUCI_1_balanced_development,SP_1-D_imageability,0.4763601739340503,0.4634890519345987,0.5141674470956752,0.6342278723127636,0.6375903598561262,0.08010997328743864,0.5557762134169476,0.5557762134169482,3.3282602190338495
pUCI_1_balanced_development,SP_7-E_shading_area,0.584245677753086,0.5571276398847899,0.630119775427409,0.7282450624206546,0.7311039915595009,0.07844940043229193,0.6697985869249805,0.6697985869249811,3.0706711412363763
pUCI_1_balanced_development,SP_3-D_human_scale,0.4968153543249709,0.48042535333895875,0.5336322835253443,0.6509293175832717,0.6550023553112437,0.09091981028275813,0.57639866077847,0.5763986607784706,3.305673886991615
pUCI_1_balanced_development,FC_3-R_life_rating,0.5332517674252591,0.5095751099417625,0.5774032153116949,0.6859960230599321,0.6894132833884655,0.0699593300807145,0.6173067666554871,0.6173067666554873,3.216998376484551
pUCI_1_balanced_development,FC_3-D_life_density,0.5373781604642159,0.5074770939066607,0.5892047303410175,0.6862490534458676,0.6896285908819382,0.06280132613200641,0.6177270222086632,0.6177270222086635,3.296551789888097
pUCI_1_balanced_development,AC_1-T_subway_accessibility,0.6742458940603787,0.6497913053281354,0.7136503527086753,0.800108306739025,0.8049851004459655,0.0485279591504693,0.757804350189273,0.7578043501892738,2.8099085746525714
pUCI_1_balanced_development,AC_3-T_bus_accessibility,0.5737788662543923,0.5515619262786877,0.6186177329165018,0.7220182672708642,0.7261058307901387,0.07077715871381854,0.6635510143409217,0.6635510143409223,3.1674421838068207
pUCI_1_balanced_development,CD_1-L_leisure_density,0.7172947704846728,0.6952787604940921,0.7498686357000043,0.8316613578176931,0.8358461279845159,0.035637240885572845,0.7953558839578367,0.7953558839578376,2.6430770447800542
pUCI_2_eco_livable,SP_6-E_greenery_rate,0.4190528333007541,0.39631938196191857,0.4658376950201817,0.5740932395144582,0.5765357290774284,0.08990701204855583,0.4814536189857083,0.48145361898570904,3.545778653519142
pUCI_2_eco_livable,SP_1-D_imageability,0.5056887214660244,0.48046520381441393,0.5606583684846421,0.6570159345390627,0.66029932278502,0.08875745863340774,0.5824161912053079,0.5824161912053073,3.2886402831508925
pUCI_2_eco_livable,SP_7-E_shading_area,0.5342031848971258,0.5176655870958674,0.5722899980070578,0.6879527320617362,0.6908524483305116,0.09024396626174419,0.6202804370906989,0.6202804370906994,3.0973429571718025
pUCI_2_eco_livable,SP_3-D_human_scale,0.4160263257149645,0.3952316219072891,0.46328671696372464,0.5728887284242181,0.5751601539430301,0.10513960669779616,0.4800351914146183,0.4800351914146182,3.636174961452927
pUCI_2_eco_livable,FC_3-R_life_rating,0.4340544525235383,0.4104237970732664,0.4791114246525846,0.5911541962985553,0.5933522112829744,0.0980454024581602,0.5004019972516784,0.5004019972516783,3.6510620675434797
