puci_col,feature,final_energy_mean,final_energy_std,final_energy_cv,late_tail_energy_var_mean
pUCI_1_balanced_development,SP_6-E_greenery_rate,-3875.5352973200806,60.408054990873616,0.015587022270870705,645.0400488753446
pUCI_1_balanced_development,SP_1-D_imageability,-3896.9214282523712,68.74104475828615,0.017639833397696713,678.0405838277413
pUCI_1_balanced_development,SP_7-E_shading_area,-3953.428657153091,41.19895535458928,0.010421069640411095,780.6830504140498
pUCI_1_balanced_development,SP_3-D_human_scale,-3916.8576279442004,64.71213500604361,0.01652144171500264,690.8105370627767
pUCI_1_balanced_development,FC_3-R_life_rating,-3941.5845192292636,57.66631299428001,0.014630236320685587,835.583763738111
pUCI_1_balanced_development,FC_3-D_life_density,-3944.2865736581043,60.16733176243516,0.015254300274291008,830.3705634750543
pUCI_1_balanced_development,AC_1-T_subway_accessibility,-3886.9302379466976,51.94768535257552,0.01336470740982923,687.9099818546233
pUCI_1_balanced_development,AC_3-T_bus_accessibility,-3854.1239518697785,53.724893341420206,0.013939586274944859,550.5154442143928
pUCI_1_balanced_development,CD_1-L_leisure_density,-3947.8635021223595,50.27306017466915,0.012734244775089743,740.8739626754713
pUCI_2_eco_livable,SP_6-E_greenery_rate,-3946.9454148287855,54.94551855535831,0.013921023166149307,906.0000631479359
pUCI_2_eco_livable,SP_1-D_imageability,-3935.1978401432793,63.44793288298188,0.016123187565246215,839.3494310633208
pUCI_2_eco_livable,SP_7-E_shading_area,-3943.9884215840475,45.674786998769164,0.011580862344525983,882.1459249979889
pUCI_2_eco_livable,SP_3-D_human_scale,-3940.0968868676614,49.11212874914584,0.01246470078257124,950.188518111184
pUCI_2_eco_livable,FC_3-R_life_rating,-3967.0425743549376,48.96544788511621,0.012343060848818406,1035.7556365278974
pUCI_2_eco_livable,FC_3-D_life_density,-3962.4570982494856,50.13758169226026,0.012653154456715705,959.3513263933247
pUCI_2_eco_livable,AC_1-T_subway_accessibility,-3942.6018605384115,56.65292195518109,0.014369425054612141,944.494338797575
pUCI_2_eco_livable,AC_3-T_bus_accessibility,-3938.990773066577,51.052562931918516,0.01296082318369412,804.9384222653525
pUCI_2_eco_livable,CD_1-L_leisure_density,-3988.351657432221,41.77849813082238,0.010475129005479972,949.4237145274885
pUCI_3_community_cohension,SP_6-E_greenery_rate,-3838.740488629773,49.41125371211875,0.012871735887975055,664.9992340913948
pUCI_3_community_cohension,SP_1-D_imageability,-3850.8047912028387,55.542786139868596,0.014423682619995711,649.3181644833667
pUCI_3_community_cohension,SP_7-E_shading_area,-3905.152578212287,57.722536378181914,0.014781121920876729,623.3586830447529
pUCI_3_community_cohension,SP_3-D_human_scale,-3850.7121402615494,49.64578237238258,0.012892623640522379,604.5181340568855
pUCI_3_community_cohension,FC_3-R_life_rating,-3926.063665097619,55.878992679813734,0.01423282897233006,690.755329605324
pUCI_3_community_cohension,FC_3-D_life_density,-3917.2496700646466,66.82948321459868,0.017060307318500785,682.9054509607512
pUCI_3_community_cohension,AC_1-T_subway_accessibility,-3894.8869735800977,46.39590557468122,0.011912003066942681,642.993316322934
pUCI_3_community_cohension,AC_3-T_bus_accessibility,-3859.6604514553687,43.2072186194897,0.011194564693688918,583.1007406430173
pUCI_3_community_cohension,CD_1-L_leisure_density,-3894.028776615386,51.63025831924371,0.01325882813945708,672.47255943181
pUCI_4_active_walkability,SP_6-E_greenery_rate,-3894.330010503512,52.83834850552285,0.013568020266133324,743.6680427063199
pUCI_4_active_walkability,SP_1-D_imageability,-3951.6087352569243,69.84956883052969,0.01767623606237125,880.3094590699112
pUCI_4_active_walkability,SP_7-E_shading_area,-3945.357211508021,55.461657799111286,0.014057449002928777,771.2380388767383
pUCI_4_active_walkability,SP_3-D_human_scale,-3919.6183068147693,59.704997869396074,0.015232349988158572,740.9171872436845
pUCI_4_active_walkability,FC_3-R_life_rating,-3956.322540350279,51.24298432700004,0.012952175613685725,842.151408836743
pUCI_4_active_walkability,FC_3-D_life_density,-3955.5597518178492,51.64931884859068,0.013057398216486124,907.6649276232823
pUCI_4_active_walkability,AC_1-T_subway_accessibility,-3910.2373345911897,49.082707860890686,0.012552360294524736,762.5173179644239
pUCI_4_active_walkability,AC_3-T_bus_accessibility,-3916.084232354088,60.80409131023677,0.015526757777037247,665.1857465271519
pUCI_4_active_walkability,CD_1-L_leisure_density,-3929.025669301905,54.87473284914429,0.013966498940917896,679.3949894428426
pUCI_5_tourism_strategy,SP_6-E_greenery_rate,-3889.732160063177,56.343049386794185,0.014485071739715636,735.4168857806735
pUCI_5_tourism_strategy,SP_1-D_imageability,-3941.4749403039714,65.38833038609734,0.01658981253881942,738.3845358324887
pUCI_5_tourism_strategy,SP_7-E_shading_area,-3943.749210816709,47.4010037469293,0.012019274353683624,777.9962511883242
pUCI_5_tourism_strategy,SP_3-D_human_scale,-3911.181746337952,49.450480733859955,0.012643360483097096,744.6701693115698
pUCI_5_tourism_strategy,FC_3-R_life_rating,-3946.8932527640986,65.90371056680073,0.01669761666866639,794.5693996555303
pUCI_5_tourism_strategy,FC_3-D_life_density,-3966.5193228586063,62.04923809317008,0.015643246141670678,819.2803551289624
pUCI_5_tourism_strategy,AC_1-T_subway_accessibility,-3911.0900178610054,60.698621316033005,0.015519617559001974,710.5811264467675
pUCI_5_tourism_strategy,AC_3-T_bus_accessibility,-3917.570227261869,77.51007939329287,0.019785243121848886,663.7781928515159
pUCI_5_tourism_strategy,CD_1-L_leisure_density,-3945.702518669228,37.96433195909838,0.009621691391955888,813.0244187929286
