id,longitude,latitude,eating,nature,community,walking,sightseeing,avg_comfort_score,avg_comfort_eating,avg_comfort_nature,avg_comfort_community,avg_comfort_walking,avg_comfort_sightseeing
691,103.765,1.3,7,9,1,6,7,0.5453164,0.5246176,0.55157685,0.4297976,0.5170923,0.5880065
692,103.765,1.305,10,2,13,3,8,0.6073632,0.62346494,0.41230148,0.6142026,0.78348285,0.5813166
693,103.765,1.31,5,3,1,17,10,0.62100875,0.54973996,0.6367323,0.5384395,0.6374966,0.6399208
694,103.765,1.315,26,0,4,1,6,0.63387024,0.5965582,0.0,0.690323,0.63056993,0.7466325
695,103.765,1.32,6,3,3,15,3,0.6361581,0.6542045,0.5320228,0.6491721,0.6433672,0.57261693
696,103.765,1.325,13,7,13,8,3,0.6023142,0.6236828,0.5770544,0.57580525,0.60330755,0.5333333
697,103.765,1.33,13,2,8,8,4,0.622004,0.62255347,0.66996324,0.5680166,0.6777313,0.6245253
698,103.765,1.335,9,8,6,6,3,0.58868283,0.58671093,0.54277635,0.6705244,0.55636877,0.47913146
699,103.765,1.34,0,0,7,14,6,0.61597055,0.0,0.0,0.62545824,0.64484334,0.5209497
700,103.765,1.345,3,3,5,2,4,0.5194733,0.61243874,0.49366474,0.56451815,0.5390805,0.46871465
701,103.765,1.35,0,12,0,2,7,0.0,0.0,0.0,0.0,0.0,0.0
702,103.765,1.355,1,6,0,3,6,0.5641071,0.678308,0.49542102,0.0,0.6189097,0.5983956
703,103.765,1.36,0,1,2,4,8,0.58224344,0.0,0.54025954,0.5493671,0.571049,0.6029011
704,103.765,1.365,2,4,1,4,3,0.61020005,0.6367255,0.6301979,0.0,0.69611657,0.50714946
705,103.765,1.37,7,1,7,4,7,0.58149993,0.58142835,0.41816404,0.5419082,0.56201065,0.63594705
706,103.765,1.375,1,0,1,0,0,0.71699333,0.0,0.0,0.84747446,0.0,0.0
707,103.765,1.38,5,1,3,4,1,0.6351535,0.6052986,0.6374734,0.6192452,0.6991792,0.6188906
708,103.765,1.385,12,9,4,11,3,0.6494955,0.61785084,0.7050862,0.72651047,0.62601906,0.70248115
709,103.765,1.39,0,2,4,13,2,0.5974706,0.0,0.66853917,0.60296357,0.61552787,0.60646844
710,103.765,1.395,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
711,103.765,1.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
712,103.765,1.405,1,1,2,0,1,0.57820535,0.54420084,0.42629206,0.6514406,0.0,0.0
713,103.765,1.41,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
714,103.765,1.415,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
715,103.765,1.42,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
716,103.765,1.425,1,0,4,7,2,0.5616828,0.7076119,0.0,0.6252709,0.5716992,0.466967
717,103.765,1.43,9,3,10,5,5,0.5729725,0.6781543,0.55261976,0.58207196,0.57312715,0.5986401
718,103.765,1.435,2,3,3,2,5,0.61527866,0.6244349,0.6463041,0.6057178,0.6993503,0.62235755
719,103.765,1.44,3,4,7,9,1,0.63772184,0.5610668,0.6227951,0.71065396,0.58768916,0.6685718
720,103.77,1.27,0,1,0,1,1,0.5076811,0.0,0.563676,0.0,0.41862157,0.54074556
721,103.77,1.275,0,1,6,1,12,0.5664455,0.0,0.3165886,0.6024931,0.0,0.5935599
722,103.77,1.29,8,3,4,3,3,0.6282828,0.66588444,0.61067283,0.6222876,0.5864952,0.6165443
723,103.77,1.295,2,5,2,1,1,0.61179286,0.6829165,0.5268481,0.64325595,0.7366283,0.66820943
