embedding_index,grid_id,cluster,activity,has_text,comfort_anchor_similarity,discomfort_anchor_similarity,comfort_raw_score,comfort_score
7253,580,1,community,False,,,,
7254,580,2,walking,True,0.17699091,0.10083533,0.07615558,0.7456277
7255,580,7,sightseeing,True,0.12541547,0.13967001,-0.01425454,0.48376608
7256,580,4,,False,,,,
7257,580,5,community,False,,,,
7258,580,1,community,True,0.04480788,0.03034236,0.014465522,0.5669502
7259,580,2,walking,True,0.041990392,-0.0044018403,0.046392232,0.6594219
7260,580,6,eating,False,,,,
7261,580,5,community,False,,,,
7262,580,2,walking,True,0.18908118,0.12488888,0.064192295,0.71097755
7263,580,5,community,False,,,,
7264,580,1,community,False,,,,
7265,580,7,sightseeing,True,0.123631164,0.11056236,0.013068803,0.5629047
7266,580,6,eating,True,0.038808126,-0.01644599,0.055254117,0.68508923
7267,580,5,community,True,0.18981639,0.12631567,0.06350072,0.7089745
7268,580,4,,True,0.17622063,0.16777827,0.008442357,0.5495048
7269,580,0,eating,True,0.11749987,0.08328642,0.034213454,0.6241476
