puci_col,feature,final_energy_mean,final_energy_std,final_energy_cv,late_tail_energy_var_mean
pUCI_1_balanced_development,SP_6-E_greenery_rate,-3926.495560781624,62.52113573078464,0.015922884608670976,845.7020488639555
pUCI_1_balanced_development,SP_1-D_imageability,-3955.240415863975,58.46901413311439,0.014782670074517463,921.0128671026152
pUCI_1_balanced_development,SP_7-E_shading_area,-3985.114892167204,34.163813755513154,0.008572855408174701,1022.9077781442626
pUCI_1_balanced_development,SP_3-D_human_scale,-3937.8931455749394,52.5773924434344,0.013351655441061493,813.278301238403
pUCI_1_balanced_development,FC_3-R_life_rating,-3977.924998966976,65.26058192364816,0.016405684355686852,905.9865605277867
pUCI_1_balanced_development,FC_3-D_life_density,-3947.3212874843302,43.9742502434531,0.011140276415522881,756.7732921280036
pUCI_1_balanced_development,AC_1-T_subway_accessibility,-3908.5725880211403,71.90874975372132,0.01839770098529187,744.0714209506339
pUCI_1_balanced_development,AC_3-T_bus_accessibility,-3888.0849589165728,59.889667710187176,0.015403384530690817,616.916489444747
pUCI_1_balanced_development,CD_1-L_leisure_density,-3969.9641660734524,59.48896239806154,0.014984760544299803,784.9433914331124
pUCI_2_eco_livable,SP_6-E_greenery_rate,-3974.4533982229377,53.26038616432371,0.013400682012811513,1056.9744192128805
pUCI_2_eco_livable,SP_1-D_imageability,-3915.116686569889,47.31640494681602,0.012085566979172428,889.7435816550693
pUCI_2_eco_livable,SP_7-E_shading_area,-3933.325024095183,46.32181873482769,0.011776758455267372,767.1202322662282
pUCI_2_eco_livable,SP_3-D_human_scale,-3963.5579739776017,62.318766743943925,0.015722935592993068,935.904075631927
pUCI_2_eco_livable,FC_3-R_life_rating,-3947.8898280820276,66.55773462315203,0.01685906586088479,1086.2762011676925
pUCI_2_eco_livable,FC_3-D_life_density,-3966.403068611088,50.035280601327464,0.012614774579339027,980.2564059778897
pUCI_2_eco_livable,AC_1-T_subway_accessibility,-3922.537047861155,60.12621964950688,0.01532840070491927,1092.3161620305757
pUCI_2_eco_livable,AC_3-T_bus_accessibility,-3960.814150422045,40.070681691893355,0.010116779068672945,874.4122962659197
pUCI_2_eco_livable,CD_1-L_leisure_density,-3980.975265989194,36.99323671804665,0.009292506043454295,1040.8154483176284
pUCI_3_community_cohension,SP_6-E_greenery_rate,-3835.070484068343,45.719517240955675,0.011921428153898026,809.3913869718544
pUCI_3_community_cohension,SP_1-D_imageability,-3842.891062292764,51.85943906744925,0.01349490220430777,646.7076180482144
pUCI_3_community_cohension,SP_7-E_shading_area,-3926.1670369541707,50.32640309964948,0.012818202237949494,1013.7562697973165
pUCI_3_community_cohension,SP_3-D_human_scale,-3823.5456955086047,58.07596660564691,0.01518903427095611,640.5805626270942
pUCI_3_community_cohension,FC_3-R_life_rating,-3902.8435329703184,50.73397412311631,0.012999233429300316,768.133531942832
pUCI_3_community_cohension,FC_3-D_life_density,-3937.581033207597,50.96659282130435,0.012943630211410888,717.7083172620474
pUCI_3_community_cohension,AC_1-T_subway_accessibility,-3909.8906073632197,37.41508551953173,0.009569343308242577,806.4412685814943
pUCI_3_community_cohension,AC_3-T_bus_accessibility,-3873.949068203788,57.36160358728423,0.014807010256818054,635.3483070032883
pUCI_3_community_cohension,CD_1-L_leisure_density,-3897.056198424228,51.269608406618666,0.01315598384938598,624.9676930506796
pUCI_4_active_walkability,SP_6-E_greenery_rate,-3927.304624816958,53.76993646781179,0.01369130780638588,1069.2822696687108
pUCI_4_active_walkability,SP_1-D_imageability,-3950.1315185055378,72.8881942313245,0.018452093022690155,873.1409683693195
pUCI_4_active_walkability,SP_7-E_shading_area,-3960.5318841395956,47.491252585988484,0.011991129973267645,783.8464716067804
pUCI_4_active_walkability,SP_3-D_human_scale,-3964.6705265660576,67.26924804864608,0.016967172328165782,879.4046901274502
pUCI_4_active_walkability,FC_3-R_life_rating,-3988.6932690279136,73.86616318416846,0.018518887816653402,792.3646639546923
pUCI_4_active_walkability,FC_3-D_life_density,-3989.1306271074877,51.883153141794295,0.013006130405765802,908.7903626774074
pUCI_4_active_walkability,AC_1-T_subway_accessibility,-3923.740103527168,36.55576440376307,0.009316561097128221,884.8131448014792
pUCI_4_active_walkability,AC_3-T_bus_accessibility,-3913.1735822658097,108.15784845505404,0.027639420072039934,599.7777358368893
pUCI_4_active_walkability,CD_1-L_leisure_density,-3945.233604390248,41.358650628193324,0.010483194349295186,810.4019980959155
pUCI_5_tourism_strategy,SP_6-E_greenery_rate,-3893.136048823617,58.4935277387613,0.01502478387736699,923.5020751981714
pUCI_5_tourism_strategy,SP_1-D_imageability,-3949.768027233908,68.54791985336318,0.01735492296780996,871.3630415322268
pUCI_5_tourism_strategy,SP_7-E_shading_area,-3949.7855748057796,55.10275363883245,0.013950821530746511,817.6947763752229
pUCI_5_tourism_strategy,SP_3-D_human_scale,-3896.805734298353,61.969415595144696,0.01590261866269367,819.2141594685214
pUCI_5_tourism_strategy,FC_3-R_life_rating,-3990.6750854135075,60.286525251389214,0.015106848831603743,990.4075264211903
pUCI_5_tourism_strategy,FC_3-D_life_density,-3960.3003708188394,40.390351793722196,0.010198810194129545,805.5820177612253
pUCI_5_tourism_strategy,AC_1-T_subway_accessibility,-3947.513811888234,37.842654412471894,0.009586452692959782,816.7903266056094
pUCI_5_tourism_strategy,AC_3-T_bus_accessibility,-3893.7130346684617,68.22150465855063,0.017520937997003546,488.7381301809699
pUCI_5_tourism_strategy,CD_1-L_leisure_density,-3988.3525179987932,51.13167810528386,0.0128202504353702,807.605266446955
