puci_col,feature,jaccard_mean,jaccard_ci95_lo,jaccard_ci95_hi,dice_mean,overlap_mean,centroid_disp_norm,pattern_pearson,pattern_spearman,vote_entropy_bits
pUCI_1_balanced_development,SP_6-E_greenery_rate,0.3873919050355545,0.3698240103057486,0.569723099061997,0.5411391904220956,0.5433480968811596,0.09565559012866258,0.44195584644556807,0.44195584644556807,2.2433988332158368
pUCI_1_balanced_development,SP_1-D_imageability,0.4784365915789977,0.4766153504779246,0.613782360725458,0.6379757545041691,0.6409249797647683,0.07839669316554446,0.5591571841079196,0.5591571841079198,2.0937762538002436
pUCI_1_balanced_development,SP_7-E_shading_area,0.5443759874655825,0.5131599322046908,0.6957525923479325,0.6942265596297176,0.6961027528822594,0.07169720829582016,0.6278485942435394,0.6278485942435393,2.02673736332192
pUCI_1_balanced_development,SP_3-D_human_scale,0.5456000971573189,0.5113336066191234,0.697041132915076,0.6927953172019188,0.6969694275621771,0.08126235044958656,0.6267889821901168,0.6267889821901169,1.979569873237575
pUCI_1_balanced_development,FC_3-R_life_rating,0.6047134661646597,0.5580322789088645,0.7600748938668639,0.7452368401733989,0.7490280456013562,0.05948236447809807,0.6890300821591696,0.6890300821591702,1.9025061506224537
pUCI_1_balanced_development,FC_3-D_life_density,0.44434732497998863,0.44147977116903653,0.5833566219997757,0.6031673577356701,0.6062420446204915,0.09149835133879171,0.516111346133157,0.5161113461331572,2.181627302052534
pUCI_1_balanced_development,AC_1-T_subway_accessibility,0.6126287008094273,0.5815785983113285,0.7648821036967473,0.7486640364196924,0.7540860239466206,0.06241066614460978,0.6949948158538345,0.6949948158538344,1.8598613548541874
pUCI_1_balanced_development,AC_3-T_bus_accessibility,0.5851767615417206,0.572506666112187,0.7096919999671406,0.7330022156446221,0.7375613883403609,0.06414140123566785,0.6761021471867025,0.6761021471867024,1.9513065517153256
pUCI_1_balanced_development,CD_1-L_leisure_density,0.7275471856913793,0.7038096125209669,0.8230065956419876,0.8383083818474472,0.8427246452522748,0.04039084834365963,0.8031801940346076,0.8031801940346076,1.5913098149536715
pUCI_2_eco_livable,SP_6-E_greenery_rate,0.4659609186551019,0.4456641844828943,0.6222967979850115,0.6222953618565019,0.6248580183340077,0.08462218639551972,0.5395932201126982,0.5395932201126984,2.225529881108221
pUCI_2_eco_livable,SP_1-D_imageability,0.3971936959065975,0.38568630114891855,0.5758534149366527,0.5518342587686251,0.5537150799299336,0.09690561299453426,0.45410552550342026,0.4541055255034205,2.322560622120018
pUCI_2_eco_livable,SP_7-E_shading_area,0.4341604548474296,0.43198373744558377,0.5776236740948922,0.5936455712405295,0.5955456578882047,0.11907513243072464,0.5052863086228442,0.5052863086228444,2.1151556853827236
pUCI_2_eco_livable,SP_3-D_human_scale,0.49944307053520026,0.4306148722787323,0.6920689146978526,0.6435468766621428,0.6473088950590059,0.06534387733859905,0.5655962794835179,0.5655962794835182,2.0971310226174094
pUCI_2_eco_livable,FC_3-R_life_rating,0.3570478639432349,0.34240703047732207,0.5333922388201815,0.5114598552186699,0.5141214320005544,0.11832500678909401,0.4029268091937702,0.4029268091937701,2.339393871661914
pUCI_2_eco_livable,FC_3-D_life_density,0.45402667976853583,0.4181414887005096,0.6346583398490537,0.6097884822649108,0.6120642468048931,0.11517625952088517,0.5230811803905339,0.5230811803905341,2.1294513334951106
pUCI_2_eco_livable,AC_1-T_subway_accessibility,0.4861589158583334,0.45606012703361476,0.6334629042524234,0.643578813147826,0.6467652592544736,0.08648944023381137,0.566343091604293,0.5663430916042931,2.234612096790632
pUCI_2_eco_livable,AC_3-T_bus_accessibility,0.6445926202021154,0.6140353329681673,0.7815595181416499,0.7762883443901087,0.7799631817498325,0.06574910751264385,0.7275648009005664,0.7275648009005667,1.809832359702627
