policy_thr,puci_col,feature,sens,n,T1_min,T1_max,T1_mean,T2_min,T2_max,T2_mean,T3_min,T3_max,T3_mean,T4_min,T4_max,T4_mean,score_min,score_max,score_mean
0.5,pUCI_1_balanced_development,SP_6-E_greenery_rate,0.00424941973648182,1676,0.0,3.0,1.8380446891526498,0.0,3.0,0.7144676570416248,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3578329428799891,7.566580004225954,3.464010956134478
0.5,pUCI_1_balanced_development,SP_1-D_imageability,0.5333544136303557,1676,0.0,3.0,1.8380446891526498,0.0,3.0,1.0160020665221594,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3046965207536897,7.566580004225954,3.765545365615013
0.5,pUCI_1_balanced_development,SP_7-E_shading_area,0.25202339069485974,1676,0.0,3.0,1.8380446891526498,0.0,3.0,0.7854311769325029,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3046965207536897,7.698576278807627,3.534974476025356
0.5,pUCI_1_balanced_development,SP_3-D_human_scale,0.03159199355284645,1676,0.0,3.0,1.8380446891526498,0.0,3.0,0.7262600421117944,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3578329428799891,7.628955995481318,3.475803341204647
0.5,pUCI_1_balanced_development,FC_3-R_life_rating,0.29109535097172434,1676,0.0,3.0,1.8380446891526498,0.0,3.0,2.208789766947255,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3046965207536897,8.0,4.958333066040108
0.5,pUCI_1_balanced_development,FC_3-D_life_density,0.2177695807472954,1676,0.0,3.0,1.8380446891526498,0.0,3.0,2.071707335717137,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3224901150597397,8.0,4.8212506348099895
0.5,pUCI_1_balanced_development,AC_1-T_subway_accessibility,0.5482367976095777,1676,0.0,3.0,1.8380446891526498,0.0,3.0,0.636004726802866,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3046965207536897,7.5471444449058405,3.385548025895719
0.5,pUCI_1_balanced_development,AC_3-T_bus_accessibility,0.5667777596997352,1676,0.0,3.0,1.8380446891526498,0.0,3.0,0.5594658820865603,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3046965207536897,7.052156447884379,3.3090091811794133
0.5,pUCI_1_balanced_development,CD_1-L_leisure_density,0.06383642378991265,1676,0.0,3.0,1.8380446891526498,0.0,3.0,1.6011465895019192,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.3578329428799891,8.0,4.350689888594773
0.5,pUCI_2_eco_livable,SP_6-E_greenery_rate,0.17437249822964906,1676,0.0,3.0,2.507043457439976,0.0,3.0,0.7144676570416248,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.824174488137243,4.133009724421804
0.5,pUCI_2_eco_livable,SP_1-D_imageability,0.16291392199482913,1676,0.0,3.0,2.507043457439976,0.0,3.0,1.0160020665221594,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0013363456938961607,7.592859305416634,4.434544133902339
0.5,pUCI_2_eco_livable,SP_7-E_shading_area,0.31739387593511126,1676,0.0,3.0,2.507043457439976,0.0,3.0,0.7854311769325029,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.960925300278564,4.2039732443126825
0.5,pUCI_2_eco_livable,SP_3-D_human_scale,0.20599472462263618,1676,0.0,3.0,2.507043457439976,0.0,3.0,0.7262600421117944,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.724419413085483,4.144802109491974
0.5,pUCI_2_eco_livable,FC_3-R_life_rating,0.0819074685501437,1676,0.0,3.0,2.507043457439976,0.0,3.0,2.208789766947255,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.22636192645056996,8.0,5.627331834327434
0.5,pUCI_2_eco_livable,FC_3-D_life_density,0.030426365656160068,1676,0.0,3.0,2.507043457439976,0.0,3.0,2.071707335717137,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.24415552075662,8.0,5.490249403097316
0.5,pUCI_2_eco_livable,AC_1-T_subway_accessibility,0.30014228868238046,1676,0.0,3.0,2.507043457439976,0.0,3.0,0.636004726802866,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.603783186226076,4.054546794183045
0.5,pUCI_2_eco_livable,AC_3-T_bus_accessibility,0.29842975530900084,1676,0.0,3.0,2.507043457439976,0.0,3.0,0.5594658820865603,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,3.9260653013196156e-05,7.331216998649408,3.9780079494667397
0.5,pUCI_2_eco_livable,CD_1-L_leisure_density,0.25877914670459534,1676,0.0,3.0,2.507043457439976,0.0,3.0,1.6011465895019192,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,8.0,5.019688656882099
0.5,pUCI_3_community_cohension,SP_6-E_greenery_rate,0.0954978120616161,1676,0.0,3.0,2.0396512860118823,0.0,3.0,0.714467657041625,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.724419413085483,3.6656175529937105
0.5,pUCI_3_community_cohension,SP_1-D_imageability,0.5924558034516483,1676,0.0,3.0,2.0396512860118823,0.0,3.0,1.0160020665221594,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.7520907758819012,7.592859305416634,3.967151962474245
0.5,pUCI_3_community_cohension,SP_7-E_shading_area,0.13741345895119642,1676,0.0,3.0,2.0396512860118823,0.0,3.0,0.7854311769325029,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.724419413085483,3.736581072884588
0.5,pUCI_3_community_cohension,SP_3-D_human_scale,0.07533918733414673,1676,0.0,3.0,2.0396512860118823,0.0,3.0,0.7262600421117944,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.0,7.724419413085483,3.67740993806388
0.5,pUCI_3_community_cohension,FC_3-R_life_rating,0.3237074726567405,1676,0.0,3.0,2.0396512860118823,0.0,3.0,2.208789766947255,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.811894358694694,8.0,5.15993966289934
0.5,pUCI_3_community_cohension,FC_3-D_life_density,0.20395043399188298,1676,0.0,3.0,2.0396512860118823,0.0,3.0,2.071707335717137,0.0,1.0,0.40883316573392187,0.0,1.0,0.5026654442062813,0.7872299676703794,8.0,5.022857231669223
