activity,model,r2,rmse,note
sightseeing,LM_Diagnostics,,,"KNN(k=8); LMlag p=0, LMerr p=0, RLMlag p=6.359e-57, RLMerr p=6.526e-15; recommend=SAC_or_SDM"
sightseeing,Global_SAR,0.8581537168025095,0.9625674682579108,in-sample; selected=False; aic=6295.054; bic=6458.840; loglik=-3118.527; rho=0.9557; lambda=nan
sightseeing,Global_SEM,0.24486958595740038,2.2209213591142105,in-sample; selected=False; aic=6299.181; bic=6457.319; loglik=-3121.590; rho=nan; lambda=0.9701
sightseeing,Global_SDM,0.862782747380012,0.9467309157985997,in-sample; selected=True; aic=6282.136; bic=6598.412; loglik=-3085.068; rho=0.9569; lambda=nan
sightseeing,Global_SAC,0.853013714043996,0.9798522804986805,in-sample; selected=False; aic=nan; bic=nan; loglik=nan; rho=0.9405; lambda=nan
sightseeing,GWR_SP,0.8864614056396765,0.8611800415697977,in-sample; bw=22.0; n_features=3
sightseeing,GWR_FC,0.7809068259372147,1.1962904152533729,in-sample; bw=70.0; n_features=15
sightseeing,GWR_AC,0.8431805423091663,1.0120970835720253,in-sample; bw=46.0; n_features=6
sightseeing,GWR_CD,0.8943671289229674,0.8306570235634307,in-sample; bw=22.0; n_features=3
sightseeing,HGWR_Hybrid,0.892647790629171,0.8373898510134609,in-sample; AC:0.244; CD:0.235; FC:0.206; SP:0.315
