policy_thr,puci_col,feature,sens,n,T1_min,T1_max,T1_mean,T2_min,T2_max,T2_mean,T3_min,T3_max,T3_mean,T4_min,T4_max,T4_mean,score_min,score_max,score_mean
0.5,pUCI_1_balanced_development,SP_6-E_greenery_rate,0.018319524946807646,1676,0.0,3.0,1.597791967449005,0.0,3.0,0.7116895641304443,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.35816132628453934,7.393706421084542,3.2203526516054515
0.5,pUCI_1_balanced_development,SP_1-D_imageability,0.5315600410353233,1676,0.0,3.0,1.597791967449005,0.0,3.0,1.0171040310810109,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,7.416283950244622,3.525767118556019
0.5,pUCI_1_balanced_development,SP_7-E_shading_area,0.26827056054035564,1676,0.0,3.0,1.597791967449005,0.0,3.0,0.7844232528945914,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,7.563985160331983,3.293086340369599
0.5,pUCI_1_balanced_development,SP_3-D_human_scale,0.054065831602971424,1676,0.0,3.0,1.597791967449005,0.0,3.0,0.7239288681331422,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.35816132628453934,7.563985160331983,3.2325919556081497
0.5,pUCI_1_balanced_development,FC_3-R_life_rating,0.2845115786976346,1676,0.0,3.0,1.597791967449005,0.0,3.0,2.2105738741298153,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,7.986220149388505,4.719236961604823
0.5,pUCI_1_balanced_development,FC_3-D_life_density,0.2077473089933939,1676,0.0,3.0,1.597791967449005,0.0,3.0,2.073239591226815,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.24259558847814783,7.986220149388505,4.581902678701823
0.5,pUCI_1_balanced_development,AC_1-T_subway_accessibility,0.5551790540470712,1676,0.0,3.0,1.597791967449005,0.0,3.0,0.6368932864467474,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,7.401497194456033,3.145556373921755
0.5,pUCI_1_balanced_development,AC_3-T_bus_accessibility,0.5719000083687955,1676,0.0,3.0,1.597791967449005,0.0,3.0,0.560444056926952,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,7.0508385829940705,3.0691071444019595
0.5,pUCI_1_balanced_development,CD_1-L_leisure_density,0.05514059923027505,1676,0.0,3.0,1.597791967449005,0.0,3.0,1.6002372716215953,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.29429793905364116,7.986220149388505,4.108900359096603
0.5,pUCI_2_eco_livable,SP_6-E_greenery_rate,0.1733858670099385,1676,0.0,3.0,2.283855280207449,0.0,3.0,0.7116895641304443,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.724419413085483,3.9064159643638967
0.5,pUCI_2_eco_livable,SP_1-D_imageability,0.17863863204868824,1676,0.0,3.0,2.283855280207449,0.0,3.0,1.0171040310810109,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0013985275266148634,7.593603979796616,4.211830431314463
0.5,pUCI_2_eco_livable,SP_7-E_shading_area,0.3203118258980393,1676,0.0,3.0,2.283855280207449,0.0,3.0,0.7844232528945914,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.961727770204005,3.9791496531280433
0.5,pUCI_2_eco_livable,SP_3-D_human_scale,0.20604522894758104,1676,0.0,3.0,2.283855280207449,0.0,3.0,0.7239288681331422,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.724419413085483,3.918655268366594
0.5,pUCI_2_eco_livable,FC_3-R_life_rating,0.08892947304109446,1676,0.0,3.0,2.283855280207449,0.0,3.0,2.2105738741298153,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,8.0,5.405300274363268
0.5,pUCI_2_eco_livable,FC_3-D_life_density,0.0404399166645557,1676,0.0,3.0,2.283855280207449,0.0,3.0,2.073239591226815,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.24259558847814783,8.0,5.267965991460267
0.5,pUCI_2_eco_livable,AC_1-T_subway_accessibility,0.3057403467090883,1676,0.0,3.0,2.283855280207449,0.0,3.0,0.6368932864467475,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.603783186226076,3.831619686680199
